Image,Rights,Caption
urn:cite:ecod:codsang570.csg-0570_001,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 1r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 1."
urn:cite:ecod:codsang570.csg-0570_002,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 2r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 2."
urn:cite:ecod:codsang570.csg-0570_003,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 3r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 3."
urn:cite:ecod:codsang570.csg-0570_004,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 4r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 4."
urn:cite:ecod:codsang570.csg-0570_005,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 5r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 5."
urn:cite:ecod:codsang570.csg-0570_006,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 6r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 6."
urn:cite:ecod:codsang570.csg-0570_007,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 7r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 7."
urn:cite:ecod:codsang570.csg-0570_008,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 8r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 8."
urn:cite:ecod:codsang570.csg-0570_009,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 9r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 9."
urn:cite:ecod:codsang570.csg-0570_010,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 10r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 10."
urn:cite:ecod:codsang570.csg-0570_011,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 11r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 11."
urn:cite:ecod:codsang570.csg-0570_012,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 12r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 12."
urn:cite:ecod:codsang570.csg-0570_013,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 13r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 13."
urn:cite:ecod:codsang570.csg-0570_014,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 14r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 14."
urn:cite:ecod:codsang570.csg-0570_015,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 15r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 15."
urn:cite:ecod:codsang570.csg-0570_016,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 16r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 16."
urn:cite:ecod:codsang570.csg-0570_017,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 17r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 17."
urn:cite:ecod:codsang570.csg-0570_018,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 18r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 18."
urn:cite:ecod:codsang570.csg-0570_019,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 19r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 19."
urn:cite:ecod:codsang570.csg-0570_020,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 20r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 20."
urn:cite:ecod:codsang570.csg-0570_021,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 21r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 21."
urn:cite:ecod:codsang570.csg-0570_022,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 22r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 22."
urn:cite:ecod:codsang570.csg-0570_023,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 23r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 23."
urn:cite:ecod:codsang570.csg-0570_024,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 24r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 24."
urn:cite:ecod:codsang570.csg-0570_025,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 25r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 25."
urn:cite:ecod:codsang570.csg-0570_026,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 26r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 26."
urn:cite:ecod:codsang570.csg-0570_027,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 27r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 27."
urn:cite:ecod:codsang570.csg-0570_028,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 28r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 28."
urn:cite:ecod:codsang570.csg-0570_029,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 29r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 29."
urn:cite:ecod:codsang570.csg-0570_030,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 30r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 30."
urn:cite:ecod:codsang570.csg-0570_031,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 31r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 31."
urn:cite:ecod:codsang570.csg-0570_032,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 32r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 32."
urn:cite:ecod:codsang570.csg-0570_033,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 33r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 33."
urn:cite:ecod:codsang570.csg-0570_034,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 34r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 34."
urn:cite:ecod:codsang570.csg-0570_035,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 35r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 35."
urn:cite:ecod:codsang570.csg-0570_036,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 36r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 36."
urn:cite:ecod:codsang570.csg-0570_037,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 37r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 37."
urn:cite:ecod:codsang570.csg-0570_038,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 38r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 38."
urn:cite:ecod:codsang570.csg-0570_039,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 39r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 39."
urn:cite:ecod:codsang570.csg-0570_040,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 40r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 40."
urn:cite:ecod:codsang570.csg-0570_041,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 41r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 41."
urn:cite:ecod:codsang570.csg-0570_042,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 42r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 42."
urn:cite:ecod:codsang570.csg-0570_043,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 43r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 43."
urn:cite:ecod:codsang570.csg-0570_044,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 44r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 44."
urn:cite:ecod:codsang570.csg-0570_045,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 45r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 45."
urn:cite:ecod:codsang570.csg-0570_046,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 46r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 46."
urn:cite:ecod:codsang570.csg-0570_047,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 47r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 47."
urn:cite:ecod:codsang570.csg-0570_048,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 48r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 48."
urn:cite:ecod:codsang570.csg-0570_049,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 49r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 49."
urn:cite:ecod:codsang570.csg-0570_050,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 50r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 50."
urn:cite:ecod:codsang570.csg-0570_051,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 51r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 51."
urn:cite:ecod:codsang570.csg-0570_052,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 52r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 52."
urn:cite:ecod:codsang570.csg-0570_053,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 53r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 53."
urn:cite:ecod:codsang570.csg-0570_054,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 54r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 54."
urn:cite:ecod:codsang570.csg-0570_055,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 55r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 55."
urn:cite:ecod:codsang570.csg-0570_056,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 56r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 56."
urn:cite:ecod:codsang570.csg-0570_057,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 57r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 57."
urn:cite:ecod:codsang570.csg-0570_058,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 58r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 58."
urn:cite:ecod:codsang570.csg-0570_059,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 59r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 59."
urn:cite:ecod:codsang570.csg-0570_060,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 60r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 60."
urn:cite:ecod:codsang570.csg-0570_061,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 61r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 61."
urn:cite:ecod:codsang570.csg-0570_062,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 62r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 62."
urn:cite:ecod:codsang570.csg-0570_063,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 63r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 63."
urn:cite:ecod:codsang570.csg-0570_064,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 64r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 64."
urn:cite:ecod:codsang570.csg-0570_065,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 65r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 65."
urn:cite:ecod:codsang570.csg-0570_066,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 66r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 66."
